# -log(1-Mr/M*)    X_O        X_C        X_He       X_H         B          N^2
     0.000000   0.700000   0.300000   0.000000   0.000000   0.000000   0.14822E-04
     0.000002   0.700000   0.300000   0.000000   0.000000   0.000000   0.17282E-04
     0.000005   0.700000   0.300000   0.000000   0.000000   0.000000   0.20150E-04
     0.000009   0.700000   0.300000   0.000000   0.000000   0.000000   0.23494E-04
     0.000014   0.700000   0.300000   0.000000   0.000000   0.000000   0.27393E-04
     0.000019   0.700000   0.300000   0.000000   0.000000   0.000000   0.31939E-04
     0.000027   0.700000   0.300000   0.000000   0.000000   0.000000   0.37239E-04
     0.000036   0.700000   0.300000   0.000000   0.000000   0.000000   0.43420E-04
     0.000048   0.700000   0.300000   0.000000   0.000000   0.000000   0.50626E-04
     0.000062   0.700000   0.300000   0.000000   0.000000   0.000000   0.59029E-04
     0.000081   0.700000   0.300000   0.000000   0.000000   0.000000   0.68828E-04
     0.000104   0.700000   0.300000   0.000000   0.000000   0.000000   0.80254E-04
     0.000133   0.700000   0.300000   0.000000   0.000000   0.000000   0.93577E-04
     0.000170   0.700000   0.300000   0.000000   0.000000   0.000000   0.10911E-03
     0.000216   0.700000   0.300000   0.000000   0.000000   0.000000   0.12723E-03
     0.000274   0.700000   0.300000   0.000000   0.000000   0.000000   0.14836E-03
     0.000348   0.700000   0.300000   0.000000   0.000000   0.000000   0.17301E-03
     0.000440   0.700000   0.300000   0.000000   0.000000   0.000000   0.20175E-03
     0.000557   0.700000   0.300000   0.000000   0.000000   0.000000   0.23528E-03
     0.000703   0.700000   0.300000   0.000000   0.000000   0.000000   0.27438E-03
     0.000888   0.700000   0.300000   0.000000   0.000000   0.000000   0.32001E-03
     0.001120   0.700000   0.300000   0.000000   0.000000   0.000000   0.37324E-03
     0.001413   0.700000   0.300000   0.000000   0.000000   0.000000   0.43535E-03
     0.001782   0.700000   0.300000   0.000000   0.000000   0.000000   0.50784E-03
     0.002247   0.700000   0.300000   0.000000   0.000000   0.000000   0.59245E-03
     0.002833   0.700000   0.300000   0.000000   0.000000   0.000000   0.69124E-03
     0.003572   0.700000   0.300000   0.000000   0.000000   0.000000   0.80661E-03
